"County, State",Latitude,Longitude,Population,Median Age,Physicians #,Median Income,Pop/sq mile,Water per capita,Days of Growth,Shelter in Place (SIP),Days before March 16,Days After March 16/before SIP,Days before SIP,Days of SIP,Growth Rate Before March 16,Growth Rate After March 16 Order Before SIP,Growth After SIP to Current,Total Growth Rate
"Alameda, CA",37.648081,-121.913304,1491482,36.6,5262,68258,2043.6,118.54,30,43909,15,3,18,12,1.278804039,1.125308557,1.158748809,1.213737813
"Contra Costa, CA",37.919479,-121.951543,1041274,38.5,3399,75084,1465.2,1649.77,28,43909,13,3,16,12,1.311614081,1.072976288,1.148837598,1.212825503
"Fresno, CA",36.761006,-119.655019,915267,30.6,2063,45219,156.2,3715.01,24,43909,9,3,12,12,1.080059739,1.25992105,1.266302342,1.19221488
"Los Angeles, CA",34.196398,-118.261862,9848011,34.8,32056,54375,2419.6,383.58,65,43909,50,3,53,12,1.095122135,1.349464224,1.238582381,1.131145903
"Marin, CA",38.051817,-122.745974,250750,44.5,1858,86658,485.1,148.85,34,43909,19,3,22,12,1.075690586,1.842015749,1.124315886,1.145714674
"Orange, CA",33.675687,-117.777207,3026786,36.2,10763,71735,3807.7,240.16,66,43909,51,3,54,12,1.062483057,1.340554257,1.206060204,1.09880279
"Placer, CA",39.062032,-120.722718,348552,40.3,1170,70751,247.6,659.84,29,43909,14,3,17,12,1.160129386,1.040041912,1.182095846,1.156027317
"Riverside, CA",33.729828,-116.002239,2125440,33.7,3175,55151,303.8,646.03,24,43909,9,3,12,12,1.34074924,1.162603292,1.265452755,1.279549956
"Sacramento, CA",38.450011,-121.340441,1400949,34.8,4515,52502,1470.8,567.91,39,43909,24,3,27,12,1.155352697,1.111990045,1.145248184,1.148848522
"San Bernardino, CA",34.85722,-116.181197,2017673,31.7,4065,52137,101.5,298.49,16,43909,1,3,4,12,2,1.357208808,1.349864234,1.38485146
"San Diego, CA",33.023604,-116.776117,3053793,34.6,11429,60103,735.8,1392.58,50,43909,35,3,38,12,1.121884711,1.233106037,1.175914007,1.141074293
"San Francisco, CA",37.727239,-123.032229,815358,38.5,7063,70247,17179.1,2256.22,58,43909,43,3,46,12,1.073957118,1.19293872,1.152289031,1.095652745
"San Joaquin, CA",37.935034,-121.272237,674860,32.7,1212,52201,492.6,2233.84,21,43909,6,3,9,12,1.44224957,1.236143256,1.199620841,1.269874514
"San Luis Obispo, CA",35.385227,-120.44754,266971,39.4,934,55638,81.7,10858.38,17,43909,2,3,5,12,1.732050808,1.630324416,1.163488834,1.294036332
"San Mateo, CA",37.414664,-122.371542,718989,39.3,3505,84678,1602.2,216.01,29,43909,14,3,17,12,1.306009626,1.284439261,1.10929581,1.218598494
"Santa Clara, CA",37.220777,-121.690622,1784642,36.2,7714,84990,1381,174.27,60,43909,45,3,48,12,1.115713964,1.110523038,1.137829921,1.119841351
"Sonoma, CA",38.532574,-122.945194,472102,39.9,1563,61985,307.1,245.09,34,43909,19,3,22,12,1.115657918,1.111990045,1.185774719,1.139587339
"Stanislaus, CA",37.562384,-121.002656,510385,32.9,996,48550,344.2,2884.08,20,43909,5,3,8,12,1.084471771,1.185631101,1.18670075,1.160116839
"Tulare, CA",36.230453,-118.780542,429668,29.6,548,39876,91.7,5536.93,19,43909,4,3,7,12,1.316074013,1.326352403,1.16773117,1.221831127
"Ventura, CA",34.358742,-119.133143,802983,36.2,2160,71246,446.7,1505.58,21,43909,6,3,9,12,1.307660486,1.560490751,1.187233262,1.269068488
"Yolo, CA",38.679268,-121.903178,199407,30.4,839,56120,197.9,3994.92,25,43909,10,3,13,12,1.071773463,1.357208808,1.143529836,1.137411462
"Adams, CO",39.874325,-104.331872,440994,32.4,940,53779,378.2,463.84,19,43916,4,10,14,5,1.414213562,1.201124434,1.299093306,1.269057043
"Arapahoe, CO",39.644632,-104.331733,565360,35.7,1918,56099,716.7,160.54,22,43916,7,10,17,5,1.4723567,1.230114592,1.240806948,1.305086979
"Boulder, CO",40.094826,-105.398382,303482,35.8,1231,63757,405.6,726.47,17,43916,2,10,12,5,2.645751311,1.251539582,1.101458068,1.316362544
"Denver, CO",39.761849,-104.880625,610345,33.7,3854,46693,3922.6,423.79,25,43916,10,10,20,5,1.302005454,1.250588198,1.155200837,1.250899304
"Douglas, CO",39.326435,-104.926199,288225,36.6,621,100447,339.7,173.88,26,43916,11,10,21,5,1.208089444,1.236797166,1.165353106,1.210636998
"Eagle, CO",39.630638,-106.692944,53653,34,188,74220,31,3299.6,25,43916,10,10,20,5,1.42281322,1.157667501,1.090791398,1.242341618
"El Paso, CO",38.827383,-104.527472,604542,34.1,1512,55621,292.6,277.73,25,43916,10,10,20,5,1.196231199,1.367278333,1.158588179,1.253876149
"Garfield, CO",39.599352,-107.90978,56298,34.5,124,62716,19.1,7069.26,16,43916,1,10,11,5,2,1.231144413,1.155789624,1.244248487
"Gunnison, CO",38.669679,-107.078108,15350,34.3,30,45711,4.7,39335.21,21,43916,6,10,16,5,1.491301475,1.178821958,1.075443996,1.233485342
"Jefferson, CO",39.58646,-105.245601,536922,40.4,1386,66059,699.5,164.86,26,43916,11,10,21,5,1.293775709,1.226541473,1.183369734,1.245934288
"Larimer, CO",40.663091,-105.482131,298382,35.5,836,56281,115.4,1854.71,22,43916,7,10,17,5,1.104089514,1.407440305,1.101694223,1.232283662
"Pitkin, CO",39.217533,-106.915943,16043,42,77,69352,17.7,8778.67,20,43916,5,10,15,5,1.040950397,1.076548289,1.054577943,1.062047491
"Routt, CO",40.48316,-106.985289,23469,38.9,100,64892,10,9566.4,18,43916,3,10,13,5,1.25992105,1.162308065,1.135641572,1.170464573
